id,Location,Type,Count
HBab25,Bambasi,7,6
HBab47,Bambasi,7,6
HBab48,Bambasi,7,6
HBab49,Bambasi,7,6
HBab50,Bambasi,7,6
HBab64,Bambasi,7,6
HBab66,Bambasi,7,6
HBab68,Bambasi,7,6
HBab92,Bambasi,7,6
HAss51,Asosa,7,6
HBab7,Bambasi,7,6
HBab75,Bambasi,7,6
HBab80,Bambasi,7,6
HBab81,Bambasi,7,6
HShr35,Sherkole,7,6
LBab37,Bambasi,7,6
LBab56,Bambasi,7,6
LBab57,Bambasi,7,6
LBab67,Bambasi,7,6
LBab82,Bambasi,7,6
HBab9,Bambasi,7,6
HBab21,Bambasi,7,6
HBab37,Bambasi,7,6
LBab1,Bambasi,7,6
LBab30,Bambasi,7,6
HBab13,Bambasi,7,6
HBab15,Bambasi,7,6
HBab17,Bambasi,7,6
HBab79,Bambasi,7,6
HBab95,Bambasi,7,6
HBab100,Bambasi,7,6
HBab118,Bambasi,7,6
LBab98,Bambasi,7,6
HKum9,Kurmuk,7,0
HAss14,Asosa,8,6
HAss42,Asosa,8,6
HKum11,Kurmuk,8,6
HShr118,Sherkole,8,6
HShr122,Sherkole,8,6
HShr17,Sherkole,8,6
HShr49,Sherkole,8,6
HShr70,Sherkole,8,6
HShr80,Sherkole,8,6
HShr82,Sherkole,8,6
HKum47,Kurmuk,8,6
HShr86,Sherkole,8,6
HShr98,Sherkole,8,6
LKum28,Kurmuk,8,6
LKum61,Kurmuk,8,6
LKum74,Kurmuk,8,6
LShr108,Sherkole,8,6
LShr112,Sherkole,8,6
LShr116,Sherkole,8,6
LShr132,Sherkole,8,6
LShr133,Sherkole,8,6
LShr157,Sherkole,8,6
LShr165,Sherkole,8,6
LShr171,Sherkole,8,6
LShr177,Sherkole,8,6
LShr44,Sherkole,8,6
LShr64,Sherkole,8,6
LShr86,Sherkole,8,6
HAss35,Asosa,8,0
HKum57,Kurmuk,8,0
HKum67,Kurmuk,8,6
HShr105,Sherkole,8,6
HShr12,Sherkole,8,0
HShr133,Sherkole,8,0
HShr3,Sherkole,8,6
HShr44,Sherkole,8,6
HShr48,Sherkole,8,6
HShr64,Sherkole,8,0
HShr87,Sherkole,8,0
LKum58,Kurmuk,8,6
LShr61,Sherkole,8,0
LShr73,Sherkole,8,6
HAss23,Asosa,8,6
HAss39,Asosa,8,6
HKum19,Kurmuk,8,0
HKum34,Kurmuk,8,6
HShr114,Sherkole,8,6
HShr126,Sherkole,8,0
HShr14,Sherkole,8,6
HShr146,Sherkole,8,6
HShr148,Sherkole,8,6
HShr161,Sherkole,8,6
HShr182,Sherkole,8,0
HShr31,Sherkole,8,6
HShr45,Sherkole,8,0
HShr65,Sherkole,8,0
HShr71,Sherkole,8,0
HShr77,Sherkole,8,6
HShr88,Sherkole,8,6
HShr96,Sherkole,8,6
LAss15,Asosa,8,0
LKum12,Kurmuk,8,6
LKum17,Kurmuk,8,6
LShr3,Sherkole,8,0
LShr5,Sherkole,8,6
HBab18,Bambasi,8,6
HBab23,Bambasi,8,6
HBab24,Bambasi,8,6
HBab25,Bambasi,8,6
HBab47,Bambasi,8,6
HBab48,Bambasi,8,6
HBab49,Bambasi,8,6
HBab50,Bambasi,8,6
HBab64,Bambasi,8,6
HBab66,Bambasi,8,6
HBab68,Bambasi,8,6
HBab92,Bambasi,8,6
HAss51,Asosa,8,6
HBab7,Bambasi,8,6
HBab75,Bambasi,8,6
HBab80,Bambasi,8,6
HBab81,Bambasi,8,6
HShr35,Sherkole,8,6
LBab37,Bambasi,8,6
LBab56,Bambasi,8,0
LBab57,Bambasi,8,6
LBab67,Bambasi,8,6
LBab82,Bambasi,8,6
HBab9,Bambasi,8,6
HBab21,Bambasi,8,6
HBab37,Bambasi,8,6
LBab1,Bambasi,8,0
LBab30,Bambasi,8,6
HBab13,Bambasi,8,0
HBab15,Bambasi,8,0
HBab17,Bambasi,8,0
HBab79,Bambasi,8,6
HBab95,Bambasi,8,0
HBab100,Bambasi,8,6
HBab118,Bambasi,8,6
LBab98,Bambasi,8,6
HKum9,Kurmuk,8,0
HAss14,Asosa,9,3
HAss42,Asosa,9,3
HKum11,Kurmuk,9,3
HShr118,Sherkole,9,3
HShr122,Sherkole,9,3
HShr17,Sherkole,9,3
HShr49,Sherkole,9,3
HShr70,Sherkole,9,3
HShr80,Sherkole,9,3
HShr82,Sherkole,9,3
HKum47,Kurmuk,9,3
HShr86,Sherkole,9,3
HShr98,Sherkole,9,3
LKum28,Kurmuk,9,3
LKum61,Kurmuk,9,3
LKum74,Kurmuk,9,3
LShr108,Sherkole,9,3
LShr112,Sherkole,9,3
LShr116,Sherkole,9,3
LShr132,Sherkole,9,3
LShr133,Sherkole,9,3
LShr157,Sherkole,9,3
LShr165,Sherkole,9,3
LShr171,Sherkole,9,3
LShr177,Sherkole,9,3
LShr44,Sherkole,9,3
LShr64,Sherkole,9,3
LShr86,Sherkole,9,3
HAss35,Asosa,9,0
HKum57,Kurmuk,9,0
HKum67,Kurmuk,9,3
HShr105,Sherkole,9,3
HShr12,Sherkole,9,0
HShr133,Sherkole,9,0
HShr3,Sherkole,9,3
HShr44,Sherkole,9,3
HShr48,Sherkole,9,3
HShr64,Sherkole,9,0
HShr87,Sherkole,9,0
LKum58,Kurmuk,9,3
LShr61,Sherkole,9,0
LShr73,Sherkole,9,3
HAss23,Asosa,9,3
HAss39,Asosa,9,3
HKum19,Kurmuk,9,0
HKum34,Kurmuk,9,3
HShr114,Sherkole,9,3
HShr126,Sherkole,9,0
HShr14,Sherkole,9,3
HShr146,Sherkole,9,3
HShr148,Sherkole,9,3
HShr161,Sherkole,9,3
HShr182,Sherkole,9,0
HShr31,Sherkole,9,3
HShr45,Sherkole,9,0
HShr65,Sherkole,9,0
HShr71,Sherkole,9,0
HShr77,Sherkole,9,3
HShr88,Sherkole,9,3
HShr96,Sherkole,9,3
LAss15,Asosa,9,0
LKum12,Kurmuk,9,3
LKum17,Kurmuk,9,3
LShr3,Sherkole,9,0
LShr5,Sherkole,9,3
HBab18,Bambasi,9,3
HBab23,Bambasi,9,3
HBab24,Bambasi,9,3
HBab25,Bambasi,9,3
HBab47,Bambasi,9,3
HBab48,Bambasi,9,3
HBab49,Bambasi,9,3
HBab50,Bambasi,9,3
HBab64,Bambasi,9,3
HBab66,Bambasi,9,3
HBab68,Bambasi,9,3
HBab92,Bambasi,9,3
HAss51,Asosa,9,3
HBab7,Bambasi,9,3
HBab75,Bambasi,9,3
HBab80,Bambasi,9,3
HBab81,Bambasi,9,3
HShr35,Sherkole,9,3
LBab37,Bambasi,9,3
LBab56,Bambasi,9,0
LBab57,Bambasi,9,3
LBab67,Bambasi,9,3
LBab82,Bambasi,9,3
